# n cycles per benchmark: 15
size,eigen,crisp,cv
1,6.85714,320.6,8.33333
2,11.5714,161.067,4.8
3,15.8571,169.733,5.53333
4,7.85714,146.4,5
5,21.7143,215.4,5.4
6,25.1429,171.067,5.8
7,14,167.667,5.53333
8,12.8571,157.133,5.73333
9,16.8571,168.133,5.73333
10,23.1429,169.133,8.8
11,29.8571,214.933,11.2667
12,33.1429,211.867,12.8
13,42.1429,258.333,10.2
14,60,178.867,12.5333
15,45.5714,198.267,8.86667
16,65.8571,202.2,16.3333
17,71.8571,209.6,9.86667
18,68.4286,158.4,11.9333
19,68,146.933,11.1333
20,96.4286,169,10.6667
21,99.4286,138.333,11.4
22,96.8571,149.267,11.8
23,106.429,140.333,12.8667
24,108.286,139.333,12.7333
25,127,134.733,15.2667
26,135.714,144.867,17.9333
27,143.571,132.333,18.3333
28,156,115.933,16.3333
29,177.571,126.467,17.2667
30,222.714,135.467,19.5333
31,212.143,126.533,26.6667
32,219.714,122.733,22.8667
33,240.857,139.6,21.7333
34,263.857,159.133,23.2
35,301.857,142.2,25.5333
36,326,131.8,26.7333
37,338,135.533,27.1333
38,379.714,133,40.8667
39,442,159.2,32
40,420.143,133.733,39.8
41,443.857,122.867,34.6
42,484.714,138.867,36.6
43,520.429,144.667,41.7333
44,555.286,132.667,38.3333
45,760.714,164.6,69.3333
46,1002.14,223.067,78.0667
47,1155.29,273.933,82.4
48,1153.29,220.133,58.9333
49,1156.57,209.8,59
50,1336.57,199.733,54.9333
51,1254.71,289.533,90.2
52,1202.86,203,75.7333
53,1071.14,141.6,70.6667
54,1650.57,221.4,122.4
55,2436.14,239.867,101.8
56,1413.29,195.8,95.2
57,1599.86,166.333,81.5333
58,1357.57,137.733,93
59,1706.57,156.467,97.1333
60,1561.71,191.667,108.8
61,2020,198,141.067
62,2159.29,161.067,147.533
63,2341.14,172.267,154.467
64,2035.14,195.8,104.6
65,1725.71,155.067,106
66,1822.29,152.067,113
67,1900,144.8,119.2
68,1986.29,167,127.467
69,2097.71,190.267,188.133
70,2343.71,186.467,189.333
71,3049.86,189.6,171.333
72,3476.71,232.4,189.2
73,3005,171.667,148.667
74,2527.71,148.267,158.267
75,2643.43,142.2,170.467
76,2745,152.6,170.867
77,2868.29,185.4,263.4
78,3529.71,198.133,262.733
79,3803.86,189.4,301.933
80,3999.14,159.333,201.667
81,3312.71,169.267,207.467
82,3433.71,150.333,238.067
83,3779,142.733,253.2
84,4430.43,195.8,255.333
85,4480,284.333,287.867
86,4742.29,156.067,248.2
87,4163.57,142.333,256.067
88,4272.71,161,250.2
89,4349.29,160.8,263.8
90,5211.14,259.467,350.6
91,5251.86,160.067,401.067
92,5052.29,151.2,280.267
93,4986.14,153.2,296.467
94,5150.29,161.6,308.333
95,5926.43,167.8,382.6
96,5430.14,148.333,460.933
97,5792.86,170.4,336.8
98,5797.71,192.6,386.6
99,5989.57,157.8,372.267
100,6701.29,161.867,387.467
101,6761.57,173.333,383.133
102,7088.43,209.467,454.267
103,6848.57,173.333,431.733
104,7572.71,159,421.867
105,7675.86,175,424.333
106,7301.43,192.333,449.933
107,7546.14,167.467,469.067
108,8342.43,163.867,609.067
109,8049.14,171.467,486.067
110,8187,173.733,505.4
111,8438.57,191,638.467
112,8854.57,165.267,521.533
113,8794.86,174.067,532.4
114,9525.14,232.2,617.2
115,9292.14,180.6,604.933
116,9554.43,163.867,560.467
117,10741.7,162.733,589.467
118,10231,170.867,607.733
119,10349.7,170.2,634.333
120,11475.1,165.067,640
121,10793.6,163.467,642.667
122,11561.4,163,679.933
123,12002,181.333,720.4
124,11646.9,158.933,693.333
125,11946.7,160.267,702.067
126,12684,171,744.333
127,12636.4,167.667,776.8
128,12856.4,191.933,1059.67
129,13193.1,186.133,821.4
130,13574.9,241.667,959.933
131,13673.4,201.333,883.4
132,14389.1,179.533,947.667
133,14336.3,175.2,847.4
134,20371.4,180.667,904.6
135,15034.6,191.933,923.333
136,18769.7,187.2,1109.13
137,16253.7,259.933,1017.6
138,22126.6,195.467,982.6
139,16330.1,212.333,1137.47
140,18840.4,205.133,1322.4
141,17174.6,205.867,1047.27
142,18099.7,196.2,1087.2
143,18153.9,182.6,1093.2
144,19984.6,190.6,1188.67
145,18449.3,197.6,1207.47
146,20113.9,204.267,1272.07
147,20411.4,189.333,1538.87
148,21396.4,181.867,1355
149,20195,193.933,1326.6
150,21629.3,208.133,1867.07
200,60741.1,230.667,3008
250,98162.9,405.4,8772
300,166234,385.667,11906.3
350,257617,394.267,17462.3
400,392918,481.867,26864.1
450,565314,580.467,39001.1
500,861288,1147.8,60311
550,1.047e+06,946.267,76670.7
600,1.33052e+06,799,90354.8
650,1.71788e+06,912,126085
700,2.2734e+06,1039.67,171928
750,2.64416e+06,1227.2,188264
800,3.27204e+06,1493.93,245169
850,4.04224e+06,2640.07,282975
900,4.4515e+06,3577.47,359230
950,5.34404e+06,4685.07,388542
1000,8.75351e+06,3275.6,482640
